restaurant name,city,feature,review,sentiment
humble grape - islington,London,bar,Such a great wine bar in Islington,1
humble grape - islington,London,bar,What a great little place ! We have just moved to Islington and had head about this little wine shop / bar,1
humble grape - islington,London,bar,Lovely relaxed wine bar,1
humble grape - islington,London,bar,"The bar staff were also very friendly - Josepha served us and suggested we get the cheesy chips with truffle aioli , a winning combination ! Definitely will go back next time I am in London .",1
humble grape - islington,London,bar,"Small menu with great options , the braised lamb shoulder was was fab ! It ’ s nice to see a wine bar that serves more than just cheese and charcuterie",1
humble grape - islington,London,service,"Great service , Maria , the manager has an extensive knowledge on wines and she was very helpful and kind all evening with us",1
humble grape - islington,London,service,The service was very good with nice waiting staff,1
humble grape - islington,London,food,"I ’ ve been in Humble Grape with two friends after I ’ ve heard rumors about their stunning wine cellar , and well the rumors are true ! ! And for not talking about the food , burrata was amazing and also the duck and the lamb were super ! the bill was not too high for what we ate and what we drink ! can ’ t wait to come back !",1
humble grape - islington,London,food,Really relaxed place to enjoy good food and really decent wines .,1
humble grape - islington,London,price,"Food was absolutely delicious , and not overpriced",-1
humble grape - islington,London,place,I will definitely recommend this hidden gem in Islington for wine lovers and people that look for a place with personality and somewhere where to enjoy a good glass of wine .,1
humble grape - islington,London,place,Really relaxed place to enjoy good food and really decent wines .,1
humble grape - islington,London,place,What a great little place ! We have just moved to Islington and had head about this little wine shop / bar,1
humble grape - islington,London,staff,My wife and I are frequent guests at Humble Grape Islington and keep coming back because the staff ( and the wine ) are so inviting,1
humble grape - islington,London,staff,Lovely Sunday roast and friendly staff,1
humble grape - islington,London,staff,"The bar staff were also very friendly - Josepha served us and suggested we get the cheesy chips with truffle aioli , a winning combination ! Definitely will go back next time I am in London .",1
humble grape - islington,London,staff,Carlos and the staff are always happy to help selecting that perfect bottle of wine,1
humble grape - islington,London,staff,The service was very good with nice waiting staff,1
humble grape - islington,London,staff,"We had the house red , which was really nice , cheesey chips and the burata which was delicious ! The staff were lovely , Josepha who was looking after us was really friendly and helpful",1
humble grape - islington,London,quality,"The wines were of the highest quality and tasted very nice , while the salad and the tapas were extremely fresh tasting with authentic tastes and flavours",1
humble grape - islington,London,wine,"I ’ ve been in Humble Grape with two friends after I ’ ve heard rumors about their stunning wine cellar , and well the rumors are true ! ! And for not talking about the food , burrata was amazing and also the duck and the lamb were super ! the bill was not too high for what we ate and what we drink ! can ’ t wait to come back !",1
humble grape - islington,London,wine,My wife and I are frequent guests at Humble Grape Islington and keep coming back because the staff ( and the wine ) are so inviting,1
humble grape - islington,London,wine,"Carlos , Sebastian , Lucas all greet us warmly and offer great suggestions from new wine arrivals",1
humble grape - islington,London,wine,Such a great wine bar in Islington,1
humble grape - islington,London,wine,"Great service , Maria , the manager has an extensive knowledge on wines and she was very helpful and kind all evening with us",1
humble grape - islington,London,wine,I will definitely recommend this hidden gem in Islington for wine lovers and people that look for a place with personality and somewhere where to enjoy a good glass of wine .,1
humble grape - islington,London,wine,Really relaxed place to enjoy good food and really decent wines .,1
humble grape - islington,London,wine,What a great little place ! We have just moved to Islington and had head about this little wine shop / bar,1
humble grape - islington,London,wine,We came in last night to check it out and absolutely loved it ! It was a shame we couldn ’ t try more wines because we were in a hurry.The cheese board was fantastic and Carlos recommended an Italian white wine that was such a treat ; we will be coming back !,1
humble grape - islington,London,wine,Lovely relaxed wine bar,1
humble grape - islington,London,wine,"Small menu with great options , the braised lamb shoulder was was fab ! It ’ s nice to see a wine bar that serves more than just cheese and charcuterie",1
humble grape - islington,London,wine,Carlos and the staff are always happy to help selecting that perfect bottle of wine,1
humble grape - islington,London,wine,"The wines were of the highest quality and tasted very nice , while the salad and the tapas were extremely fresh tasting with authentic tastes and flavours",1
humble grape - islington,London,wine,They helped us with the wine choice which was very good too,1
the oystermen seafood bar & kitchen,London,atmosphere,"And while its not cheap , the prices are pretty good for food of this quality.1 ) Its small and quite tightly packed meaning it has a great atmosphere",1
the oystermen seafood bar & kitchen,London,service,"All are very nice , especially the crab ! Excellent service and environment with first class of food .",1
the oystermen seafood bar & kitchen,London,service,Dropped in for Lunch and the service was great as was the food,1
the oystermen seafood bar & kitchen,London,service,"Altogether , with two bottles of water , two glasses of wine and five beers between us , the three courses we all enjoyed came to a total of £218.The service was good too - brisk , efficient and friendly.So why four stars rather than five ? Well , for me , the restaurant was just a little too cramped and ( especially given the size of the place ) the music was a little too loud",1
the oystermen seafood bar & kitchen,London,service,"( but the tables area bit on the small side . ) 2 ) The service was friendly and personal , very unlike many London restaurants.3 ) My smoked mackerel on toast with pickled Shimenji ( £9.50 ) sounds ordinary but the reality just blew me away - creamy , sublime and oh so gorgeous.4 ) My main course was braised Cuttlefish Orzo ( £21 ) which tested like I had just died and gone to heaven",1
the oystermen seafood bar & kitchen,London,service,We had lovely food and excellent service.As Oyster fans everyone was happy,1
the oystermen seafood bar & kitchen,London,service,"The service was spot on : quick to ask for drinks , slower to allow us to read the menu and ask questions",1
